Member of the Bundestag,Born,Party,State1
Axel Schäfer,1952,SPD,Nordrhein-Westfalen
(Bochum),,,
Elisabeth Scharfenberg,1963,GRÜNE,Bayern
Wolfgang Schäuble,1942,CDU,Baden-Württemberg
Ursula Schauws,1966,GRÜNE,Nordrhein-Westfalen
Annette Schavan,1955,CDU,Baden-Württemberg
Nina Scheer,1971,SPD,Schleswig-Holstein
Andreas Scheuer,1974,CSU,Bayern
Gerhard Schick,1972,GRÜNE,Baden-Württemberg
Marianne Schieder,1962,SPD,Bayern
(Schwandorf),,,
Udo Schiefner,1959,SPD,Nordrhein-Westfalen
Karl Schiewerling,1951,CDU,Nordrhein-Westfalen
Jana Schimke,1979,CDU,Brandenburg
Norbert Schindler,1949,CDU,Rheinland-Pfalz
Tankred Schipanski,1976,CDU,Thüringen
Michael Schlecht,1951,DIE LINKE,Baden-Württemberg
Dorothee Schlegel,1959,SPD,Baden-Württemberg
Heiko Schmelzle,1970,CDU,Niedersachsen
Christian Schmidt,1957,CSU,Bayern
(Fürth),,,
Dagmar Schmidt,1973,SPD,Hessen
(Wetzlar),,,
Frithjof Schmidt,1953,GRÜNE,Nordrhein-Westfalen
Gabriele Schmidt,1956,CDU,Baden-Württemberg
(Ühlingen),,,
Matthias Schmidt,1963,SPD,Berlin
(Berlin),,,
Ulla Schmidt,1949,SPD,Nordrhein-Westfalen
(Aachen),,,
Carsten Schneider,1976,SPD,Thüringen
(Erfurt),,,
Patrick Schnieder,1968,CDU,Rheinland-Pfalz
Elfi Scho-Antwerpes,1952,SPD,Nordrhein-Westfalen
